python3 main.py
Hello World!
(0.013449481572491134, 0.00017952325178913976)
Iteration 0-0, k: 10, rho: 0.5
Lambda: 250.0
Q size: 0.019309262166405022
Packets generated: 1243
Proportion of packets lost: 0.9774738535800482
Observer: 1.734231147208189e-05 0
Observer: 0.0009050764650186594 0
Arrival: 0.00101042241147355 1
Observer: 0.0011408856678267365 1
Departure: 0.0032013105077739953 0
Observer: 0.004231630720225423 0
Observer: 0.004261399371017046 0
Observer: 0.006151818247788179 0
Observer: 0.006235037354852901 0
Observer: 0.00662757107533232 0
Arrival: 0.007183546474988281 1
Departure: 0.007778399756951633 0
Observer: 0.009349763321596738 0
Observer: 0.009572765443517772 0
Observer: 0.009635479457600564 0
Observer: 0.009942200201138701 0
Observer: 0.01008206163343499 0
Observer: 0.012067157264873408 0
Observer: 0.012783610598829482 0
Observer: 0.01314099522305161 0
Observer: 0.013773142388859206 0
Observer: 0.014179023408309285 0
Observer: 0.01496744485647152 0
Arrival: 0.015072075106935649 1
Observer: 0.01612458769181254 1
Observer: 0.016393038372497355 1
Departure: 0.017354294944108513 0
Observer: 0.017802217476226047 0
Observer: 0.018326010432388653 0
Observer: 0.018850001610643798 0
Observer: 0.01987275541883306 0
Observer: 0.021433830447586344 0
Observer: 0.022162303109086817 0
Observer: 0.022358727407724138 0
Observer: 0.0227131549342961 0
Observer: 0.02282430639750599 0
Observer: 0.02290737051411254 0
Observer: 0.022968573274437264 0
Observer: 0.022983324851048263 0
Observer: 0.023401063677265622 0
Observer: 0.023905408474761355 0
Observer: 0.023911841599970514 0
Observer: 0.024234410467524767 0
Observer: 0.024574120789592105 0
Arrival: 0.025213254078707864 1
Observer: 0.025985981335101854 1
Arrival: 0.027948909239521393 2
Departure: 0.02833848027100952 1
Arrival: 0.028360843055963286 2
Observer: 0.029529739740937137 2
Observer: 0.030340860138555085 2
Departure: 0.030723459761431888 1
Departure: 0.03097558661361518 0
Observer: 0.031041333934700995 0
Observer: 0.031097044123581163 0
Arrival: 0.03164438916212254 1
Observer: 0.031993008520089176 1
Departure: 0.032942414522512425 0
Arrival: 0.03311650188514146 1
Arrival: 0.033927255154541335 2
Observer: 0.0340264384485113 2
Observer: 0.03464633775243606 2
Observer: 0.035475747947239934 2
Departure: 0.0359458397485256 1
Observer: 0.03616724902616554 1
Observer: 0.036671461078182976 1
Observer: 0.03719354073658508 1
Departure: 0.037568297188454 0
Observer: 0.03781708476603728 0
Arrival: 0.0385093866848797 1
Observer: 0.03875354633739502 1
Observer: 0.03910817889781062 1
Observer: 0.040022232067418444 1
Arrival: 0.04028805785762062 2
Observer: 0.04178605060398157 2
Observer: 0.0427280631178029 2
Observer: 0.042855844378678676 2
Arrival: 0.04301252606136348 3
Observer: 0.04303428425798163 3
Observer: 0.04445188254668844 3
Departure: 0.04530116811455601 2
Observer: 0.04577135316397142 2
Observer: 0.046164434445083405 2
Observer: 0.046544315501739965 2
Observer: 0.04682880000668558 2
Departure: 0.04814375790261369 1
Observer: 0.04859478568276712 1
Observer: 0.0490607730140867 1
Departure: 0.04942173973602384 0
Observer: 0.04984704618966902 0
Arrival: 0.04990645206232862 1
Departure: 0.04993757588059012 0
Observer: 0.05014759067706579 0
Observer: 0.05136089317479273 0
Observer: 0.05200720885538057 0
Observer: 0.052214465931136184 0
Observer: 0.05330131521635943 0
Observer: 0.05377496737577287 0
Observer: 0.05407378053014773 0
Observer: 0.0550318200201762 0
Observer: 0.05517593974510416 0
Arrival: 0.05558925937732023 1
Observer: 0.056001933175597755 1
Observer: 0.05652489318840282 1
Observer: 0.056635765188688826 1
Departure: 0.05665169997301654 0
Arrival: 0.058301520273783096 1
Observer: 0.059118039512022505 1
Observer: 0.05996902521008452 1
Observer: 0.06010713494171022 1
Observer: 0.06059563865564795 1
Observer: 0.06110569588904016 1
Departure: 0.06143275004723953 0
Observer: 0.06611661815937103 0
Observer: 0.06644163307119703 0
Observer: 0.0666885774430748 0
Observer: 0.06692083014565406 0
Observer: 0.06702555064089635 0
Observer: 0.06727686241534213 0
Observer: 0.0675544675013383 0
Observer: 0.0679422058355931 0
Observer: 0.06840404266023387 0
Observer: 0.07009975195338934 0
Observer: 0.07022221928300387 0
Observer: 0.07214356481247414 0
Observer: 0.0723647881680807 0
Observer: 0.0733584192844382 0
Observer: 0.07350896298543529 0
Observer: 0.07373493958953253 0
Observer: 0.07419266912770855 0
Observer: 0.07431601065741353 0
Observer: 0.07462516892818742 0
Observer: 0.07481461340267041 0
Observer: 0.07571306079267036 0
Observer: 0.07575655402817665 0
Observer: 0.07599868803220507 0
Observer: 0.07630491933607808 0
Observer: 0.07640698246293304 0
Observer: 0.07675457127207708 0
Observer: 0.07703775106552757 0
Observer: 0.07907412424908737 0
Observer: 0.08069269082128391 0
Observer: 0.08127242252443567 0
Observer: 0.08185487052005164 0
Observer: 0.08256000124152045 0
Observer: 0.0834138493161003 0
Arrival: 0.08348690574072692 1
Departure: 0.08356412695319228 0
Observer: 0.08410710316396305 0
Arrival: 0.08622258099489573 1
Observer: 0.08697412917038005 1
Observer: 0.08704918943011201 1
Departure: 0.08713398095553285 0
Observer: 0.08753575568486809 0
Observer: 0.08759827647863679 0
Observer: 0.08823321669934457 0
Observer: 0.08847394680354255 0
Observer: 0.08863904815030639 0
Observer: 0.0888005018641995 0
Observer: 0.08903125507891439 0
Observer: 0.0891762285349155 0
Observer: 0.08951563467804828 0
Arrival: 0.08966578711238563 1
Departure: 0.09098705016721001 0
Observer: 0.09105818139065681 0
Observer: 0.09198138363731377 0
Observer: 0.09208488065288167 0
Arrival: 0.09275990283252597 1
Observer: 0.09418575037646212 1
Observer: 0.09433020965763239 1
Observer: 0.09505794262260567 1
Observer: 0.09542729006469605 1
Observer: 0.09569356951993219 1
Observer: 0.09661085802489278 1
Observer: 0.09761926030772555 1
Observer: 0.09836295370656238 1
Observer: 0.09886025533582321 1
Observer: 0.1000066180509861 1
Arrival: 0.10025727591391898 2
Observer: 0.1011645714027331 2
Observer: 0.10136318314507047 2
Observer: 0.1016422026225343 2
Arrival: 0.10169218837239247 3
Observer: 0.1018761508358097 3
Observer: 0.10316940919781632 3
Observer: 0.10393205218673526 3
Observer: 0.10439688578960864 3
Arrival: 0.10550338228976551 4
Departure: 0.10571704879281822 3
Observer: 0.10577438387920632 3
Observer: 0.10619093056805398 3
Departure: 0.1064825841127559 2
Observer: 0.10675444778496852 2
Observer: 0.1078534129516403 2
Departure: 0.1080505942888005 1
Observer: 0.10841347118125141 1
Departure: 0.10848964017225321 0
Observer: 0.10898343530859438 0
Observer: 0.10900773615080504 0
Observer: 0.10924115785570641 0
Observer: 0.11064609794024327 0
Observer: 0.11109932762132622 0
Arrival: 0.11149805375596102 1
Observer: 0.11167431303960937 1
Observer: 0.1119375438445751 1
Departure: 0.11279336534783171 0
Observer: 0.11327164775093244 0
Observer: 0.11348110555552791 0
Arrival: 0.11401565414139411 1
Observer: 0.11443191718506988 1
Arrival: 0.11574641240615324 2
Departure: 0.11575685149249608 1
Observer: 0.11651108912889806 1
Observer: 0.11731405136347385 1
Observer: 0.11869801496865337 1
Observer: 0.11871259195197648 1
Departure: 0.1189218087513151 0
Observer: 0.12005993366670246 0
Arrival: 0.12057778598192243 1
Observer: 0.12151622487248769 1
Observer: 0.12177627028503928 1
Observer: 0.12181021247142738 1
Departure: 0.12190492981803691 0
Observer: 0.12200256357812626 0
Observer: 0.12525675603568817 0
Observer: 0.1253766846187955 0
Observer: 0.125547626350002 0
Observer: 0.12702743082943527 0
Observer: 0.12756090357708427 0
Observer: 0.12770541876597238 0
Observer: 0.12842105747826918 0
Arrival: 0.12861485371722403 1
Observer: 0.12889258127276154 1
Observer: 0.12971941558692596 1
Observer: 0.1304177482010493 1
Observer: 0.1304767453261764 1
Arrival: 0.1310870789561787 2
Observer: 0.1313683446004667 2
Observer: 0.13142470304962733 2
Observer: 0.13163032062775482 2
Observer: 0.13232439705765803 2
Observer: 0.13255953684989166 2
Observer: 0.13366788710492844 2
Observer: 0.13385786825058893 2
Departure: 0.13481541982906883 1
Observer: 0.13510247599721664 1
Observer: 0.1351985693953467 1
Observer: 0.1365625305223735 1
Departure: 0.13658894675520775 0
Observer: 0.1392507742850828 0
Observer: 0.14020990143224296 0
Observer: 0.14037520737680592 0
Dropped: 0.14057573440575427 0
Observer: 0.14175251554175883 0
Observer: 0.14245654972791552 0
Observer: 0.14311917556637477 0
Dropped: 0.14460508528512292 0
Observer: 0.14810980758319792 0
Observer: 0.14841696513228794 0
Observer: 0.15093045683238326 0
Observer: 0.1513773894942845 0
Dropped: 0.1514157998272168 0
Observer: 0.15143837912083932 0
Observer: 0.15179271891835394 0
Observer: 0.15341706548740902 0
Observer: 0.15419513569251084 0
Observer: 0.15422437529079663 0
Observer: 0.1549032037883571 0
Observer: 0.1553164612989593 0
Observer: 0.1579223645797378 0
Observer: 0.15937169614224664 0
Observer: 0.16021044144165547 0
Observer: 0.16031740818233753 0
Observer: 0.16156773916129666 0
Observer: 0.16286835583960493 0
Observer: 0.16288714689122907 0
Observer: 0.1631890876763287 0
Observer: 0.16445768290526758 0
Observer: 0.1648476794898513 0
Observer: 0.1653373113567557 0
Observer: 0.16713002621844752 0
Observer: 0.16890811998608543 0
Observer: 0.1691224491435124 0
Observer: 0.16965858794061772 0
Observer: 0.17075819550893606 0
Observer: 0.1719385419491268 0
Observer: 0.17286324676364412 0
Observer: 0.1733111933553257 0
Observer: 0.17461652186312226 0
Observer: 0.1750415357581947 0
Observer: 0.1750460660437151 0
Observer: 0.17557740811773578 0
Observer: 0.17593720976002672 0
Dropped: 0.17593962473209143 0
Observer: 0.1764380483821054 0
Observer: 0.17699369424176215 0
Dropped: 0.1778455374041786 0
Observer: 0.17844989328167857 0
Dropped: 0.17960583382341647 0
Dropped: 0.18019963557805316 0
Observer: 0.1805276358728065 0
Observer: 0.1806411048958117 0
Observer: 0.18255160844078785 0
Observer: 0.18264767696615855 0
Observer: 0.1829592893325075 0
Observer: 0.1833058370833645 0
Observer: 0.18350219125641046 0
Dropped: 0.1838555906246403 0
Observer: 0.18462742206180582 0
Observer: 0.1846664134653268 0
Observer: 0.18579791835736817 0
Observer: 0.18586209623106972 0
Observer: 0.1863923463919853 0
Dropped: 0.18642201363424776 0
Dropped: 0.1864416378066746 0
Observer: 0.18660625833146738 0
Observer: 0.187757284254645 0
Observer: 0.18882426643698297 0
Observer: 0.18884209464905133 0
Observer: 0.18903414627492765 0
Observer: 0.189180209352548 0
Observer: 0.19028911798818496 0
Observer: 0.1906171786336228 0
Observer: 0.19194586124547006 0
Observer: 0.19220331807884425 0
Observer: 0.19472051110432734 0
Observer: 0.195260731952321 0
Observer: 0.19528937588167947 0
Observer: 0.19543409753736365 0
Observer: 0.1959507316757738 0
Observer: 0.196102494786581 0
Dropped: 0.19834607614707292 0
Observer: 0.19865400339057618 0
Dropped: 0.19898390853338105 0
Dropped: 0.19946171663484313 0
Observer: 0.20043958826027009 0
Dropped: 0.2007025974437929 0
Dropped: 0.2022483232252319 0
Dropped: 0.20234359601390048 0
Observer: 0.20331204015156654 0
Observer: 0.20426403733048584 0
Observer: 0.20437520304256857 0
Observer: 0.20460073139120316 0
Dropped: 0.20482377994005194 0
Observer: 0.20482773823257516 0
Dropped: 0.2059044652175929 0
Dropped: 0.20635917456930142 0
Observer: 0.2070441411166914 0
Observer: 0.2077330234468109 0
Observer: 0.2077341892951429 0
Observer: 0.207865736980475 0
Dropped: 0.20905088739726896 0
Observer: 0.20925170390980338 0
Observer: 0.20961663139203746 0
Observer: 0.209648141446084 0
Observer: 0.21150244024172726 0
Observer: 0.21249582433923014 0
Observer: 0.2126612870701703 0
Observer: 0.21407343402218965 0
Observer: 0.21469974350156182 0
Observer: 0.21519783374697865 0
Observer: 0.21569592098446963 0
Observer: 0.21639686233280958 0
Observer: 0.21744189594506222 0
Observer: 0.21835485369964164 0
Observer: 0.2190812371443336 0
Observer: 0.2191744831685997 0
Observer: 0.21958163381698617 0
Observer: 0.21992405964096606 0
Observer: 0.22127525383515811 0
Observer: 0.2221918381613055 0
Observer: 0.22251603816704552 0
Observer: 0.2229091039628198 0
Observer: 0.22324525512824622 0
Observer: 0.22363253136087402 0
Observer: 0.22364372544338262 0
Observer: 0.22377010142911144 0
Observer: 0.22379745569975087 0
Observer: 0.22399228671413735 0
Observer: 0.22422827196405737 0
Observer: 0.22526948870105787 0
Observer: 0.22685595414770943 0
Observer: 0.22713246514983282 0
Observer: 0.22847450095999347 0
Observer: 0.22851033133379775 0
Observer: 0.22893014586343077 0
Observer: 0.22939802074424512 0
Dropped: 0.2297976447695579 0
Observer: 0.23040945046681907 0
